my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
2,2,True
2,3,True
3,3,True
3,4,True
4,4,True
5,4,True
5,5,True
6,5,True
6,6,True
7,6,True
8,6,True
8,7,True
9,7,True
10,7,True
10,8,True
10,9,True
10,10,True
10,11,True
10,12,True
11,12,True
12,12,True
12,13,True
12,14,True
13,14,True
14,14,True
15,14,True
16,14,True
17,14,True
18,14,True
18,15,True
19,15,True
20,15,True
20,16,True
21,16,True
22,16,True
22,17,True
22,18,True
22,19,True
23,19,True
23,20,True
24,20,True
24,21,True
25,21,True
