my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
2,3,True
3,3,True
4,3,True
5,3,True
5,4,True
5,5,True
6,5,True
6,6,True
7,6,True
8,6,True
9,6,True
9,7,True
9,8,True
10,8,True
11,8,True
11,9,True
12,9,True
13,9,True
14,9,True
15,9,True
16,9,True
17,9,True
17,10,True
17,11,True
18,11,True
18,12,True
18,13,True
19,13,True
19,14,True
20,14,True
21,14,True
21,15,True
21,16,True
22,16,True
23,16,True
23,17,True
23,18,True
23,19,True
23,20,True
23,21,True
23,22,True
24,22,True
25,22,True
