my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
4,0,True
5,0,True
5,1,True
6,1,True
6,2,True
6,3,True
6,4,True
7,4,True
8,4,True
8,5,True
9,5,True
10,5,True
11,5,True
11,6,True
12,6,True
12,7,True
12,8,True
13,8,True
13,9,True
13,10,True
13,11,True
14,11,True
14,12,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
17,15,True
18,15,True
19,15,True
19,16,True
20,16,True
21,16,True
22,16,True
22,17,True
22,18,True
22,19,True
23,19,True
23,20,True
23,21,True
23,22,True
24,22,True
25,22,True
