my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
3,2,False
4,2,False
4,3,False
5,3,False
5,4,False
6,4,False
7,4,False
8,4,False
8,5,False
8,6,False
8,7,False
9,7,False
10,7,False
10,8,False
11,8,False
11,9,False
11,10,False
12,10,False
12,11,False
12,12,False
12,13,False
12,14,False
13,14,False
14,14,False
14,15,False
15,15,False
15,16,False
16,16,False
17,16,False
18,16,False
18,17,False
18,18,False
18,19,False
19,19,False
20,19,False
21,19,False
21,20,False
22,20,False
22,21,False
23,21,False
23,22,False
23,23,False
24,23,False
24,24,False
24,25,False
25,25,False
25,26,False
26,26,False
26,27,False
27,27,False
27,28,False
28,28,False
28,29,False
28,30,False
