my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
2,3,False
2,4,False
3,4,False
3,5,False
4,5,False
5,5,False
6,5,False
7,5,False
7,6,False
7,7,False
7,8,False
8,8,False
9,8,False
10,8,False
11,8,False
11,9,False
12,9,False
12,10,False
12,11,False
13,11,False
14,11,False
14,12,False
14,13,False
14,14,False
14,15,False
15,15,False
15,16,False
16,16,False
17,16,False
17,17,False
18,17,False
18,18,False
18,19,False
19,19,False
19,20,False
19,21,False
20,21,False
20,22,False
20,23,False
20,24,False
21,24,False
21,25,False
