my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
2,1,True
3,1,True
3,2,True
3,3,True
3,4,True
3,5,True
3,6,True
3,7,True
3,8,True
3,9,True
4,9,True
4,10,True
4,11,True
4,12,True
5,12,True
6,12,True
6,13,True
7,13,True
7,14,True
8,14,True
9,14,True
10,14,True
11,14,True
11,15,True
12,15,True
13,15,True
14,15,True
15,15,True
16,15,True
17,15,True
17,16,True
17,17,True
18,17,True
18,18,True
18,19,True
19,19,True
19,20,True
20,20,True
21,20,True
22,20,True
23,20,True
23,21,True
23,22,True
23,23,True
24,23,True
25,23,True
