my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
2,3,False
2,4,False
3,4,False
4,4,False
4,5,False
4,6,False
5,6,False
5,7,False
6,7,False
6,8,False
7,8,False
7,9,False
7,10,False
8,10,False
9,10,False
10,10,False
11,10,False
11,11,False
12,11,False
13,11,False
14,11,False
14,12,False
15,12,False
15,13,False
15,14,False
16,14,False
17,14,False
18,14,False
18,15,False
19,15,False
20,15,False
20,16,False
21,16,False
22,16,False
22,17,False
22,18,False
23,18,False
23,19,False
23,20,False
24,20,False
24,21,False
24,22,False
24,23,False
24,24,False
25,24,False
25,25,False
25,26,False
26,26,False
26,27,False
27,27,False
27,28,False
28,28,False
28,29,False
28,30,False
