my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
3,2,False
4,2,False
4,3,False
5,3,False
6,3,False
6,4,False
7,4,False
8,4,False
8,5,False
9,5,False
10,5,False
10,6,False
11,6,False
11,7,False
12,7,False
13,7,False
13,8,False
13,9,False
14,9,False
14,10,False
14,11,False
14,12,False
14,13,False
14,14,False
15,14,False
15,15,False
16,15,False
16,16,False
16,17,False
16,18,False
16,19,False
17,19,False
17,20,False
18,20,False
18,21,False
19,21,False
19,22,False
19,23,False
20,23,False
21,23,False
22,23,False
23,23,False
24,23,False
24,24,False
24,25,False
24,26,False
